,OK,SHORT NAME
93,https://www.nature.com/articles/s41550-020-1107-2,ASTRONOMY
94,https://www.nature.com/articles/s41550-020-1091-6,ASTRONOMY
95,https://www.nature.com/articles/s41550-020-1089-0,ASTRONOMY
96,https://www.nature.com/articles/s41550-020-1038-y,ASTRONOMY
97,https://www.nature.com/articles/s41550-020-1038-y,ASTRONOMY
98,https://www.nature.com/articles/s41550-020-1078-3,ASTRONOMY
99,https://www.nature.com/articles/s41550-020-1031-5,ASTRONOMY
100,https://www.nature.com/articles/s41550-020-1074-7,ASTRONOMY
101,https://www.nature.com/articles/s41550-020-1057-8,ASTRONOMY
102,https://www.nature.com/articles/s41550-020-1042-2,ASTRONOMY
103,https://www.nature.com/articles/s41550-020-1045-z,ASTRONOMY
104,https://www.nature.com/articles/s41550-020-1055-x,ASTRONOMY
105,https://www.nature.com/articles/s41550-020-1061-z,ASTRONOMY
106,https://www.nature.com/articles/s41550-020-1046-y,ASTRONOMY
107,https://www.nature.com/articles/s41550-020-1056-9,ASTRONOMY
108,https://www.nature.com/articles/s41550-020-1058-7,ASTRONOMY
109,https://www.nature.com/articles/s41550-020-1048-9,ASTRONOMY
110,https://www.nature.com/articles/s41550-020-1047-x,ASTRONOMY
111,https://www.nature.com/articles/s41550-020-1044-0,ASTRONOMY
112,https://www.nature.com/articles/s41550-020-1032-4,ASTRONOMY
113,https://www.nature.com/articles/s41550-020-1016-4,ASTRONOMY
114,https://www.nature.com/articles/s41550-020-1029-z,ASTRONOMY
115,https://www.nature.com/articles/s41550-020-1026-2,ASTRONOMY
116,https://www.nature.com/articles/s41550-020-1021-7,ASTRONOMY
117,https://www.nature.com/articles/s41550-020-1027-1,ASTRONOMY
118,https://www.nature.com/articles/s41550-020-1022-6,ASTRONOMY
119,https://www.nature.com/articles/s41550-020-1015-5,ASTRONOMY
120,https://www.nature.com/articles/s41550-019-1001-y,ASTRONOMY
121,https://www.nature.com/articles/s41550-019-1006-6,ASTRONOMY
122,https://www.nature.com/articles/s41550-019-1004-8,ASTRONOMY
123,https://www.nature.com/articles/s41550-019-1005-7,ASTRONOMY
124,https://www.nature.com/articles/s41550-019-1003-9,ASTRONOMY
125,https://www.nature.com/articles/s41550-019-0994-6,ASTRONOMY
126,https://www.nature.com/articles/s41550-019-0968-8,ASTRONOMY
127,https://www.nature.com/articles/s41550-019-0982-x,ASTRONOMY
128,https://www.nature.com/articles/s41550-019-0964-z,ASTRONOMY
129,https://www.nature.com/articles/s41550-019-0993-7,ASTRONOMY
130,https://www.nature.com/articles/s41550-019-0983-9,ASTRONOMY
131,https://www.nature.com/articles/s41550-019-0980-z,ASTRONOMY
132,https://www.nature.com/articles/s41550-019-0981-y,ASTRONOMY
133,https://www.nature.com/articles/s41550-019-0986-6,ASTRONOMY
134,https://www.nature.com/articles/s41550-019-0971-0,ASTRONOMY
135,https://www.nature.com/articles/s41550-019-0935-4,ASTRONOMY
136,https://www.nature.com/articles/s41550-019-0943-4,ASTRONOMY
137,https://www.nature.com/articles/s41550-019-0951-4,ASTRONOMY
138,https://www.nature.com/articles/s41550-019-0956-z,ASTRONOMY
139,https://www.nature.com/articles/s41550-019-0920-y,ASTRONOMY
140,https://www.nature.com/articles/s41550-019-0920-y,ASTRONOMY
141,https://www.nature.com/articles/s41550-019-0947-0,ASTRONOMY
142,https://www.nature.com/articles/s41550-019-0950-5,ASTRONOMY
143,https://www.nature.com/articles/s41550-019-0952-3,ASTRONOMY
144,https://www.nature.com/articles/s41550-019-0946-1,ASTRONOMY
145,https://www.nature.com/articles/s41550-019-0938-1,ASTRONOMY
146,https://www.nature.com/articles/s41550-019-0907-8,ASTRONOMY
147,https://www.nature.com/articles/s41550-019-0923-8,ASTRONOMY
148,https://www.nature.com/articles/s41550-019-0919-4,ASTRONOMY
149,https://www.nature.com/articles/s41550-019-0913-x,ASTRONOMY
150,https://www.nature.com/articles/s41550-019-0921-x,ASTRONOMY
151,https://www.nature.com/articles/s41550-019-0912-y,ASTRONOMY
152,https://www.nature.com/articles/s41550-019-0924-7,ASTRONOMY
153,https://www.nature.com/articles/s41550-019-0884-y,ASTRONOMY
154,https://www.nature.com/articles/s41550-019-0898-5,ASTRONOMY
155,https://www.nature.com/articles/s41550-019-0886-9,ASTRONOMY
156,https://www.nature.com/articles/s41550-019-0897-6,ASTRONOMY
